_id,problem_id,solution_desc,solution_timestamp,time_elapsed,__v
6686e2993e5e901d6c621713,66799a2ada3f76f283191434,Minimum cost: 150\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1   12  /  15       48\r\n0 -> 2    8  /   8       32\r\n1 -> 2    8  /  20       16\r\n1 -> 3    4  /   4       8\r\n1 -> 4    0  /  10       0\r\n2 -> 3   12  /  15       12\r\n2 -> 4    4  /   4       12\r\n3 -> 4   11  /  20       22\r\n4 -> 2    0  /   5       0,2024-07-04T17:57:45.983Z,1405,0
6686e2e03e5e901d6c621715,66799a2ada3f76f283191435,Minimum cost: 80\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1    8  /  10       24\r\n0 -> 2    7  /  15       14\r\n1 -> 2    0  /   8       0\r\n1 -> 3    0  /   5       0\r\n1 -> 4    8  /  12       24\r\n2 -> 3    7  /   7       14\r\n2 -> 4    0  /  20       0\r\n3 -> 4    4  /  18       4\r\n4 -> 2    0  /   5       0,2024-07-04T17:58:56.077Z,445,0
6686e2e63e5e901d6c621717,66799a2ada3f76f283191436,Minimum cost: 120\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1    8  /  12       32\r\n0 -> 2   10  /  10       30\r\n1 -> 2    2  /  15       4\r\n1 -> 3    6  /   8       30\r\n1 -> 4    0  /   6       0\r\n2 -> 3    0  /   7       0\r\n2 -> 4   12  /  18       24\r\n3 -> 4    0  /  20       0\r\n4 -> 2    0  /   5       0,2024-07-04T17:59:02.826Z,402,0
6686e2ee3e5e901d6c621719,66799a2ada3f76f283191437,There was an issue with the min cost flow input.\r\nStatus: Status.UNBALANCED,2024-07-04T17:59:10.161Z,409,0
6686e2f63e5e901d6c62171b,66799a2ada3f76f283191438,Minimum cost: 142\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1   12  /  15       48\r\n0 -> 2    8  /   8       24\r\n1 -> 2    8  /  20       16\r\n1 -> 3    4  /   4       8\r\n1 -> 4    0  /  10       0\r\n2 -> 3   12  /  15       12\r\n2 -> 4    4  /   4       12\r\n3 -> 4   11  /  20       22\r\n4 -> 2    0  /   5       0,2024-07-04T17:59:18.534Z,414,0
6686e2fe3e5e901d6c62171d,66799a2ada3f76f283191439,Minimum cost: 114\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1    6  /  18       18\r\n0 -> 2   12  /  12       48\r\n1 -> 2    0  /  15       0\r\n1 -> 3    0  /   8       0\r\n1 -> 4    6  /   6       18\r\n2 -> 3    6  /   7       12\r\n2 -> 4    6  /  18       18\r\n3 -> 4    0  /  20       0\r\n4 -> 2    0  /   5       0,2024-07-04T17:59:26.489Z,425,0
6686e3053e5e901d6c62171f,66799a2ada3f76f28319143a,Minimum cost: 110\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1   10  /  20       30\r\n0 -> 2   10  /  10       40\r\n1 -> 2    0  /  15       0\r\n1 -> 3    0  /   6       0\r\n1 -> 4   10  /  10       20\r\n2 -> 3    5  /   8       5\r\n2 -> 4    5  /  12       15\r\n3 -> 4    0  /  18       0\r\n4 -> 2    0  /   5       0,2024-07-04T17:59:33.506Z,430,0
6686e3133e5e901d6c621721,66799a2ada3f76f28319143b,Minimum cost: 88\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1   11  /  15       22\r\n0 -> 2    7  /  10       21\r\n1 -> 2    0  /  12       0\r\n1 -> 3    3  /   5       6\r\n1 -> 4    8  /   8       24\r\n2 -> 3    7  /   7       7\r\n2 -> 4    0  /  20       0\r\n3 -> 4    4  /  18       8\r\n4 -> 2    0  /   5       0,2024-07-04T17:59:47.590Z,427,0
6686e31b3e5e901d6c621723,66799a2ada3f76f28319143c,Minimum cost: 80\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1    8  /  10       24\r\n0 -> 2    7  /  15       14\r\n1 -> 2    0  /   8       0\r\n1 -> 3    0  /   5       0\r\n1 -> 4    8  /  12       24\r\n2 -> 3    7  /   7       14\r\n2 -> 4    0  /  20       0\r\n3 -> 4    4  /  18       4\r\n4 -> 2    0  /   5       0,2024-07-04T17:59:55.995Z,389,0
6686e3233e5e901d6c621725,66799a2ada3f76f28319143d,Minimum cost: 120\r\n\r\n Arc    Flow / Capacity Cost\r\n0 -> 1    8  /  12       32\r\n0 -> 2   10  /  10       30\r\n1 -> 2    2  /  15       4\r\n1 -> 3    6  /   8       30\r\n1 -> 4    0  /   6       0\r\n2 -> 3    0  /   7       0\r\n2 -> 4   12  /  18       24\r\n3 -> 4    0  /  20       0\r\n4 -> 2    0  /   5       0,2024-07-04T18:00:03.069Z,418,0
