_id,problem_id,solution_desc,solution_timestamp,time_elapsed,__v
6686daf87c50201344484f38,66799a2ada3f76f28319140c,"Total value = 7534\r\nTotal weight: 850\r\nPacked items: [0, 1, 3, 4, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 24, 27, 28, 29, 30, 31, 32, 34, 38, 39, 41, 42, 44, 47, 48, 49]\r\nPacked weights: [7, 0, 22, 80, 11, 59, 18, 0, 3, 8, 15, 42, 9, 0, 47, 52, 26, 6, 29, 84, 2, 4, 18, 7, 71, 3, 66, 31, 0, 65, 52, 13]",2024-07-04T17:25:12.633Z,233,0
6686dbccb359242e7cb56ec2,66799a2ada3f76f28319140d,"Total value = 11650\r\nTotal weight: 800\r\nPacked items: [0, 1, 2, 4, 5, 6, 9, 10, 11, 12, 14, 15, 16, 17, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47]\r\nPacked weights: [20, 10, 20, 10, 20, 10, 10, 30, 20, 30, 30, 20, 30, 20, 40, 20, 30, 20, 20, 10, 30, 20, 30, 10, 10, 20, 30, 20, 10, 40, 30, 10, 30, 20, 40, 10, 20]",2024-07-04T17:28:44.263Z,91,0
6686de973e5e901d6c6216db,66799a2ada3f76f28319140e,"Total value = 13660\r\nTotal weight: 1000\r\nPacked items: [0, 1, 2, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47]\r\nPacked weights: [40, 30, 20, 10, 20, 10, 30, 20, 30, 20, 10, 20, 10, 40, 20, 10, 30, 30, 20, 10, 10, 30, 10, 40, 20, 40, 10, 20, 40, 10, 20, 20, 30, 40, 40, 30, 30, 30, 10, 40, 20, 20, 10]",2024-07-04T17:40:39.668Z,114,0
6686dea33e5e901d6c6216dd,66799a2ada3f76f28319140f,"Total value = 14810\r\nTotal weight: 1140\r\nPacked items: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]\r\nPacked weights: [20, 30, 30, 40, 10, 30, 20, 20, 40, 40, 40, 10, 20, 20, 40, 20, 40, 10, 10, 30, 20, 20, 10, 10, 40, 20, 20, 10, 30, 10, 20, 40, 10, 30, 30, 40, 10, 10, 40, 10, 40, 10, 40, 30, 10, 30, 30]",2024-07-04T17:40:51.859Z,106,0
6686deac3e5e901d6c6216df,66799a2ada3f76f283191410,"Total value = 15380\r\nTotal weight: 1200\r\nPacked items: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]\r\nPacked weights: [30, 20, 10, 20, 10, 20, 20, 20, 10, 10, 40, 40, 30, 30, 20, 10, 20, 30, 10, 10, 20, 30, 10, 30, 30, 30, 40, 10, 40, 10, 40, 10, 10, 20, 40, 40, 10, 40, 30, 30, 40, 30, 40, 30, 40, 40, 20, 30]",2024-07-04T17:41:00.934Z,100,0
6686deb63e5e901d6c6216e1,66799a2ada3f76f283191411,"Total value = 14780\r\nTotal weight: 900\r\nPacked items: [1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]\r\nPacked weights: [10, 30, 30, 10, 10, 40, 40, 20, 10, 10, 30, 40, 20, 20, 10, 10, 10, 40, 40, 10, 20, 10, 20, 40, 20, 30, 10, 30, 10, 10, 40, 10, 40, 10, 10, 30, 30, 20, 10, 20, 40]",2024-07-04T17:41:10.521Z,95,0
6686defc3e5e901d6c6216e3,66799a2ada3f76f283191412,"Total value = 15500\r\nTotal weight: 1100\r\nPacked items: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]\r\nPacked weights: [20, 10, 40, 20, 10, 10, 40, 30, 30, 40, 40, 30, 10, 20, 20, 20, 10, 30, 20, 20, 30, 20, 10, 20, 10, 30, 40, 10, 30, 30, 40, 30, 30, 40, 10, 40, 30, 20, 10, 20, 10, 10, 10, 40, 30, 10, 20]",2024-07-04T17:42:20.292Z,101,0
6686df043e5e901d6c6216e5,66799a2ada3f76f283191413,"Total value = 15860\r\nTotal weight: 1130\r\nPacked items: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]\r\nPacked weights: [10, 20, 30, 10, 20, 30, 10, 30, 20, 20, 40, 30, 30, 10, 20, 30, 10, 30, 10, 40, 10, 20, 20, 30, 20, 10, 40, 40, 30, 20, 20, 40, 40, 40, 10, 40, 10, 20, 10, 40, 10, 10, 30, 30, 40, 20, 30]",2024-07-04T17:42:28.324Z,132,0
6686df0b3e5e901d6c6216e7,66799a2ada3f76f283191414,"Total value = 15620\r\nTotal weight: 1000\r\nPacked items: [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]\r\nPacked weights: [40, 10, 30, 10, 30, 20, 40, 10, 40, 20, 30, 40, 10, 20, 40, 10, 40, 10, 10, 20, 10, 10, 20, 20, 10, 30, 10, 10, 30, 30, 20, 40, 20, 40, 30, 30, 30, 10, 40, 40, 10, 30]",2024-07-04T17:42:35.212Z,351,0
6686df113e5e901d6c6216e9,66799a2ada3f76f283191415,"Total value = 13560\r\nTotal weight: 800\r\nPacked items: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 30, 31, 33, 35, 36, 38, 39, 40, 41, 42, 43, 45]\r\nPacked weights: [20, 20, 10, 30, 10, 30, 20, 10, 10, 40, 10, 10, 30, 30, 40, 40, 20, 10, 20, 10, 40, 20, 10, 40, 20, 40, 10, 10, 40, 20, 10, 10, 30, 30, 10, 10, 30]",2024-07-04T17:42:41.770Z,117,0
