_id,transaction_id,amount,credits_bought,user_id
6679490ad575271fd9127b37,1,68742050.51,10656,66797085da3f76f283191127
6679490ad575271fd9127b38,2,6116843.35,80760,66797085da3f76f283191104
6679490ad575271fd9127b39,3,53474674.38,51099,66797085da3f76f283191146
6679490ad575271fd9127b3a,4,23249032.28,86324,66797085da3f76f283191120
6679490ad575271fd9127b3b,5,6670340.06,31429,66797085da3f76f28319110a
6679490ad575271fd9127b3c,6,13418694.78,31707,66797085da3f76f28319110e
6679490ad575271fd9127b3d,7,4970583.47,27050,66797085da3f76f283191145
6679490ad575271fd9127b3e,8,17070290.64,2255,66797085da3f76f283191158
6679490ad575271fd9127b3f,9,51711019.73,5916,66797085da3f76f28319114e
6679490ad575271fd9127b40,10,27149175.87,21378,66797085da3f76f283191119
6679490ad575271fd9127b41,11,2584866.96,69397,66797085da3f76f283191115
6679490ad575271fd9127b42,12,15611735.04,3262,66797085da3f76f283191106
6679490ad575271fd9127b43,13,48614252.74,73686,66797085da3f76f283191137
6679490ad575271fd9127b44,14,20453324.42,96131,66797085da3f76f283191147
6679490ad575271fd9127b45,15,9497468.04,79768,66797085da3f76f28319110d
6679490ad575271fd9127b46,16,89689290.24,32224,66797085da3f76f28319112c
6679490ad575271fd9127b47,17,51985707.85,43082,66797085da3f76f28319111a
6679490ad575271fd9127b48,18,17514149.06,29815,66797085da3f76f283191142
6679490ad575271fd9127b49,19,45770753.21,80090,66797085da3f76f283191111
6679490ad575271fd9127b4a,20,22751452.84,80555,66797085da3f76f283191101
6679490ad575271fd9127b4b,21,1619140.43,82490,66797085da3f76f283191141
6679490ad575271fd9127b4c,22,2144237.05,2145,66797085da3f76f2831910ff
6679490ad575271fd9127b4d,23,30467433.0,60843,66797085da3f76f28319110f
6679490ad575271fd9127b4e,24,63889130.9,35319,66797085da3f76f283191136
6679490ad575271fd9127b4f,25,4800351.75,39807,66797085da3f76f28319115a
6679490ad575271fd9127b50,26,72629.77,48131,66797085da3f76f28319111b
6679490ad575271fd9127b51,27,25797758.61,21504,66797085da3f76f2831910f8
6679490ad575271fd9127b52,28,1171672.42,73195,66797085da3f76f283191100
6679490ad575271fd9127b53,29,76704061.19,85906,66797085da3f76f28319113b
6679490ad575271fd9127b54,30,69018829.71,84861,66797085da3f76f283191102
6679490ad575271fd9127b55,31,67392300.48,45716,66797085da3f76f283191114
6679490ad575271fd9127b56,32,2022296.71,39237,66797085da3f76f283191125
6679490ad575271fd9127b57,33,10828653.69,43807,66797085da3f76f283191134
6679490ad575271fd9127b58,34,12235384.82,22639,66797085da3f76f283191118
6679490ad575271fd9127b59,35,9166728.63,10183,66797085da3f76f283191124
6679490ad575271fd9127b5a,36,665421.42,86678,66797085da3f76f283191159
6679490ad575271fd9127b5b,37,9042172.66,26320,66797085da3f76f283191105
6679490ad575271fd9127b5c,38,16962789.91,76348,66797085da3f76f283191108
6679490ad575271fd9127b5d,39,11235047.72,66481,66797085da3f76f28319110c
6679490ad575271fd9127b5e,40,46525989.31,87242,66797085da3f76f2831910fe
6679490ad575271fd9127b5f,41,18206939.19,10291,66797085da3f76f283191152
6679490ad575271fd9127b60,42,225742.67,45219,66797085da3f76f283191112
6679490ad575271fd9127b61,43,2112361.91,34687,66797085da3f76f283191151
6679490ad575271fd9127b62,44,19473829.3,72214,66797085da3f76f28319113c
6679490ad575271fd9127b63,45,1056545.68,29937,66797085da3f76f28319111c
6679490ad575271fd9127b64,46,1255323.72,85576,66797085da3f76f2831910fd
6679490ad575271fd9127b65,47,12763095.14,82879,66797085da3f76f28319111f
6679490ad575271fd9127b66,48,613421.28,9514,66797085da3f76f283191140
6679490ad575271fd9127b67,49,75750498.2,17238,66797085da3f76f2831910f7
6679490ad575271fd9127b68,50,24331752.91,70304,66797085da3f76f283191155
6679490ad575271fd9127b69,51,72813267.93,69918,66797085da3f76f2831910fb
6679490ad575271fd9127b6a,52,1562235.72,48084,66797085da3f76f283191150
6679490ad575271fd9127b6b,53,1284440.76,97037,66797085da3f76f283191116
6679490ad575271fd9127b6c,54,13516961.33,26910,66797085da3f76f283191110
6679490ad575271fd9127b6d,55,1236452.2,38898,66797085da3f76f28319111e
6679490ad575271fd9127b6e,56,9609999.17,69814,66797085da3f76f283191107
6679490ad575271fd9127b6f,57,2952173.68,91338,66797085da3f76f28319112e
6679490ad575271fd9127b70,58,35098370.04,20730,66797085da3f76f283191156
6679490ad575271fd9127b71,59,70759485.97,28439,66797085da3f76f28319114f
6679490ad575271fd9127b72,60,66857409.55,26962,66797085da3f76f283191148
6679490ad575271fd9127b73,61,42538796.73,64257,66797085da3f76f283191129
6679490ad575271fd9127b74,62,1488519.97,24755,66797085da3f76f283191138
6679490ad575271fd9127b75,63,57738371.77,10471,66797085da3f76f28319113e
6679490ad575271fd9127b76,64,18841527.58,79516,66797085da3f76f28319111d
6679490ad575271fd9127b77,65,24490873.0,98931,66797085da3f76f2831910fc
6679490ad575271fd9127b78,66,4002499.23,77134,66797085da3f76f283191113
6679490ad575271fd9127b79,67,6097254.55,30138,66797085da3f76f28319113f
6679490ad575271fd9127b7a,68,6278837.16,71765,66797085da3f76f283191133
6679490ad575271fd9127b7b,69,47738578.35,33346,66797085da3f76f283191132
6679490ad575271fd9127b7c,70,653398.27,50602,66797085da3f76f28319113d
6679490ad575271fd9127b7d,71,430267.86,51643,66797085da3f76f28319112f
6679490ad575271fd9127b7e,72,1424368.49,55164,66797085da3f76f28319114b
6679490ad575271fd9127b7f,73,16221622.33,2642,66797085da3f76f283191103
6679490ad575271fd9127b80,74,654664.38,82574,66797085da3f76f283191123
6679490ad575271fd9127b81,75,60458729.99,27134,66797085da3f76f283191122
6679490ad575271fd9127b82,76,18466667.3,70701,66797085da3f76f283191149
6679490ad575271fd9127b83,77,39653450.31,56875,66797085da3f76f283191144
6679490ad575271fd9127b84,78,10728962.12,69256,66797085da3f76f2831910fa
6679490ad575271fd9127b85,79,11510775.99,40611,66797085da3f76f28319112d
6679490ad575271fd9127b86,80,146988.01,85494,66797085da3f76f283191135
6679490ad575271fd9127b87,81,52687745.77,39435,66797085da3f76f283191126
6679490ad575271fd9127b88,82,5086150.63,3318,66797085da3f76f28319110b
6679490ad575271fd9127b89,83,3155617.5,68749,66797085da3f76f283191130
6679490ad575271fd9127b8a,84,3213278.46,82026,66797085da3f76f283191153
6679490ad575271fd9127b8b,85,37622479.43,59526,66797085da3f76f283191131
6679490ad575271fd9127b8c,86,5151590.58,70713,66797085da3f76f28319114d
6679490ad575271fd9127b8d,87,14120338.43,15562,66797085da3f76f2831910f9
6679490ad575271fd9127b8e,88,47415532.92,47345,66797085da3f76f283191154
6679490ad575271fd9127b8f,89,700797.65,32531,66797085da3f76f283191117
6679490ad575271fd9127b90,90,22910980.17,7929,66797085da3f76f28319113a
6679490ad575271fd9127b91,91,646751.11,99755,66797085da3f76f28319112a
6679490ad575271fd9127b92,92,486550.47,33954,66797085da3f76f28319114c
6679490ad575271fd9127b93,93,188497.28,37238,66797085da3f76f283191121
6679490ad575271fd9127b94,94,13127918.21,94269,66797085da3f76f283191128
6679490ad575271fd9127b95,95,8380304.14,45433,66797085da3f76f283191143
6679490ad575271fd9127b96,96,6941536.87,33995,66797085da3f76f28319114a
6679490ad575271fd9127b97,97,37179.57,7999,66797085da3f76f283191157
